,inchikey,hmdb,kegg,smiles
C00438_Carbamoylaspartate,HLKXYZVTANABHZ-REOHCLBHSA-N,HMDB0000828,C00438,C([C@@H](C(=O)O)NC(=O)N)C(=O)O
C00064_Gln,ZDXPYRJPNDTMRX-VKHMYHEASA-N,HMDB0000641,C00064,C(CC(=O)N)[C@@H](C(=O)O)N
C08434_6-Methylaminopurine,CKOMXBHMKXXTNW-UHFFFAOYSA-N,HMDB0002099,C08434,CNC1=NC=NC2=C1NC=N2
C01081_Thiamine monophosphate,HZSAJDVWZRBGIF-UHFFFAOYSA-O,HMDB0002666,C01081,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O
C00327_Citrulline,RHGKLRLOHDJJDR-BYPYZUCNSA-N,HMDB0000904,C00327,C(C[C@@H](C(=O)O)N)CNC(=O)N
C00029_UDP-glucose,HSCJRCZFDFQWRP-JZMIEXBBSA-N,HMDB0000286,C00029,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O
C01736_Purine riboside,MRWXACSTFXYYMV-FDDDBJFASA-N,HMDB0029956,C01736,C1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
C02486_beta-Leucine,GLUJNGJDHCTUJY-RXMQYKEDSA-N,HMDB0003640,C02486,CC(C)[C@@H](CC(=O)O)N
C01585_Hexanoate,FUZZWVXGSFPDMH-UHFFFAOYSA-N,HMDB0000535,C01585,CCCCCC(=O)O
C10833_Syringate,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,HMDB0002085,C10833,COC1=CC(=CC(=C1O)OC)C(=O)O
C00152_Asn,DCXYFEDJOCDNAF-REOHCLBHSA-N,HMDB0000168,C00152,C([C@@H](C(=O)O)N)C(=O)N
C00504_Folate,OVBPIULPVIDEAO-LBPRGKRZSA-N,HMDB0000121,C00504,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N
C05672_2-Amino-3-phosphonopropionate,LBTABPSJONFLPO-UHFFFAOYSA-N,HMDB0000370,C05672,C(C(C(=O)O)N)P(=O)(O)O
C00122_Fumarate,VZCYOOQTPOCHFL-OWOJBTEDSA-N,HMDB0000134,C00122,C(=C/C(=O)O)\C(=O)O
C03758_Dopamine,VYFYYTLLBUKUHU-UHFFFAOYSA-N,HMDB0000073,C03758,C1=CC(=C(C=C1CCN)O)O
C02774_10-Hydroxydecanoate,YJCJVMMDTBEITC-UHFFFAOYSA-N,,C02774,C(CCCCC(=O)O)CCCCO
C02642_3-Ureidopropionate,JSJWCHRYRHKBBW-UHFFFAOYSA-N,HMDB0000026,C02642,C(CNC(=O)N)C(=O)O
C00818_Saccharate,DSLZVSRJTYRBFB-LLEIAEIESA-N,HMDB0000663,C00818,[C@H]([C@@H]([C@@H](C(=O)O)O)O)([C@H](C(=O)O)O)O
C00363_dTDP,UJLXYODCHAELLY-XLPZGREQSA-N,HMDB0001274,C00363,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O
C02635_3-Chloroalanine,ASBJGPTTYPEMLP-REOHCLBHSA-N,,C02635,C([C@@H](C(=O)O)N)Cl
C00811_p-Coumarate,NGSWKAQJJWESNS-ZZXKWVIFSA-N,HMDB0002035,C00811,C1=CC(=CC=C1/C=C/C(=O)O)O
C05587_3-Methoxytyramine,DIVQKHQLANKJQO-UHFFFAOYSA-N,HMDB0000022,C05587,COC1=C(C=CC(=C1)CCN)O
C00534_Pyridoxamine,NHZMQXZHNVQTQA-UHFFFAOYSA-N,HMDB0001431,C00534,CC1=NC=C(C(=C1O)CN)CO
C00783_Tropinone,QQXLDOJGLXJCSE-UHFFFAOYSA-N,METPA0078,C00783,CN1C2CCC1CC(=O)C2
C00250_Pyridoxal,RADKZDMFGJYCBB-UHFFFAOYSA-N,HMDB0001545,C00250,CC1=NC=C(C(=C1O)C=O)CO
C02230_3-Methylguanine,XHBSBNYEHDQRCP-UHFFFAOYSA-N,HMDB0001566,C02230,CN1C2=C(C(=O)N=C1N)NC=N2
C01551_Allantoin,POJWUDADGALRAB-UHFFFAOYSA-N,HMDB0000462,C01551,C1(C(=O)NC(=O)N1)NC(=O)N
C00661_G3P,LXJXRIRHZLFYRP-UHFFFAOYSA-N,HMDB0000807,C00661,C(C(C=O)O)OP(=O)(O)O
C00123_Leu,ROHFNLRQFUQHCH-YFKPBYRVSA-N,HMDB0000687,C00123,CC(C)C[C@@H](C(=O)O)N
C00315_Spermidine,ATHGHQPFGPMSJY-UHFFFAOYSA-N,HMDB0001257,C00315,C(CCNCCCN)CN
C00955_Indole-3-ethanol,MBBOMCVGYCRMEA-UHFFFAOYSA-N,HMDB0003447,C00955,C1=CC=C2C(=C1)C(=CN2)CCO
C00475_Cytidine,UHDGCWIWMRVCDJ-XVFCMESISA-N,HMDB0000089,C00475,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
C00003_NAD+,BAWFJGJZGIEFAR-NNYOXOHSSA-O,HMDB0000902,C00003,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
C08262_3-Methylbutanoate,GWYFCOCPABKNJV-UHFFFAOYSA-N,HMDB0000718,C08262,CC(C)CC(=O)O
C00364_dTMP,GYOZYWVXFNDGLU-XLPZGREQSA-N,HMDB0001227,C00364,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O)O
C02512_beta-Cyanoalanine,BXRLWGXPSRYJDZ-VKHMYHEASA-N,,C02512,C(C#N)[C@@H](C(=O)O)N
C00847_4-Pyridoxate,HXACOUQIXZGNBF-UHFFFAOYSA-N,HMDB0000017,C00847,CC1=NC=C(C(=C1O)C(=O)O)CO
C00025_Glu,WHUUTDBJXJRKMK-VKHMYHEASA-N,HMDB0000148,C00025,C(CC(=O)O)[C@@H](C(=O)O)N
C01744_3-(4-Hydroxyphenyl)propionate,NMHMNPHRMNGLLB-UHFFFAOYSA-N,HMDB0002199,C01744,C1=CC(=CC=C1CCC(=O)O)O
C00715_Pterin,HNXQXTQTPAJEJL-UHFFFAOYSA-N,HMDB0000802,C00715,C1=CN=C2C(=N1)C(=O)N=C(N2)N
C02704_Methyl sulfate,JZMJDSHXVKJFKW-UHFFFAOYSA-N,,C02704,COS(=O)(=O)O
C00233_4-Methyl-2-oxopentanoate,BKAJNAXTPSGJCU-UHFFFAOYSA-N,HMDB0000695,C00233,CC(C)CC(=O)C(=O)O
C00093_Glycerophosphate,AWUCVROLDVIAJX-GSVOUGTGSA-N,HMDB0000126,C00093,C([C@H](COP(=O)(O)O)O)O
C03592_5-Methyl-2'-deoxycytidine,LUCHPKXVUGJYGU-XLPZGREQSA-N,HMDB0002224,C03592,CC1=CN(C(=O)N=C1N)[C@H]2C[C@@H]([C@H](O2)CO)O
C03752_Glucosaminate,UFYKDFXCZBTLOO-TXICZTDVSA-N,METPA0433,C03752,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)N)O)O)O)O
C02567_N1-Acetylspermine,GUNURVWAJRRUAV-UHFFFAOYSA-N,HMDB0001186,C02567,CC(=O)NCCCNCCCCNCCCN
C00449_Saccharopine,ZDGJAHTZVHVLOT-YUMQZZPRSA-N,HMDB0000279,C00449,C(CCN[C@@H](CCC(=O)O)C(=O)O)C[C@@H](C(=O)O)N
C01118_o-Succinylhomoserine,GNISQJGXJIDKDJ-YFKPBYRVSA-N,,C01118,C(COC(=O)CCC(=O)O)[C@@H](C(=O)O)N
C01180_4-Methylthio-2-oxobutyrate,SXFSQZDSUWACKX-UHFFFAOYSA-N,HMDB0001553,C01180,CSCCC(=O)C(=O)O
C00417_cis-Aconitate,GTZCVFVGUGFEME-IWQZZHSRSA-N,HMDB0000072,C00417,C(/C(=C/C(=O)O)/C(=O)O)C(=O)O
C00253_Nicotinate,PVNIIMVLHYAWGP-UHFFFAOYSA-N,HMDB0001488,C00253,C1=CC(=CN=C1)C(=O)O
C00346_Ethanolamine phosphate,SUHOOTKUPISOBE-UHFFFAOYSA-N,HMDB0000224,C00346,C(COP(=O)(O)O)N
C03145_N-Formylmethionine,PYUSHNKNPOHWEZ-YFKPBYRVSA-N,HMDB0001015,C03145,CSCC[C@@H](C(=O)O)NC=O
C11331_Leu-Leu-Tyr,UCNNZELZXFXXJQ-BZSNNMDCSA-N,,C11331,CC(C)C[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O)N
C00489_Glutarate,JFCQEDHGNNZCLN-UHFFFAOYSA-N,HMDB0000661,C00489,C(CC(=O)O)CC(=O)O
C01762_Xanthosine,UBORTCNDUKBEOP-UUOKFMHZSA-N,HMDB0000299,C01762,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O
C00299_Uridine,DRTQHJPVMGBUCF-XVFCMESISA-N,HMDB0000296,C00299,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
C00380_Cytosine,OPTASPLRGRRNAP-UHFFFAOYSA-N,HMDB0000630,C00380,C1=C(NC(=O)N=C1)N
C00105_UMP,DJJCXFVJDGTHFX-XVFCMESISA-N,HMDB0000288,C00105,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O
C00077_Ornithine,AHLPHDHHMVZTML-BYPYZUCNSA-N,HMDB0000214,C00077,C(C[C@@H](C(=O)O)N)CN
-_SDMA,HVPFXCBJHIIJGS-LURJTMIESA-N,HMDB0003334,,CNC(=NC)NCCC[C@@H](C(=O)O)N
C00083_Malonyl CoA,LTYOQGRJFJAKNA-DVVLENMVSA-N,HMDB0001175,C00083,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O
C02155_Gly-Leu,DKEXFJVMVGETOO-LURJTMIESA-N,HMDB0000759,C02155,CC(C)C[C@@H](C(=O)O)NC(=O)CN
C05123_Isethionate,SUMDYPCJJOFFON-UHFFFAOYSA-N,HMDB0003903,C05123,C(CS(=O)(=O)O)O
C00334_GABA,BTCSSZJGUNDROE-UHFFFAOYSA-N,HMDB0000112,C00334,C(CC(=O)O)CN
C02494_1-Methyladenosine,GFYLSDSUCHVORB-IOSLPCCCSA-N,HMDB0003331,C02494,CN1C=NC2=C(C1=N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
C00112_CDP,ZWIADYZPOWUWEW-XVFCMESISA-N,HMDB0001546,C00112,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O
C07091_3-Acetylacrylate,XGTKSWVCNVUVHG-IHWYPQMZSA-N,HMDB0060461,C07091,CC(=O)/C=C\C(=O)O
C00103_G1P,HXXFSFRBOHSIMQ-VFUOTHLCSA-N,HMDB0001586,C00103,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O
C00879_Mucate,DSLZVSRJTYRBFB-DUHBMQHGSA-N,HMDB0000639,C00879,[C@@H]([C@@H]([C@H](C(=O)O)O)O)([C@@H](C(=O)O)O)O
-_2-Hydroxypentanoate,JRHWHSJDIILJAT-UHFFFAOYSA-N,HMDB0001863,,CCCC(C(=O)O)O
C05682_Phosphonoacetate,XUYJLQHKOGNDPB-UHFFFAOYSA-N,HMDB0004110,C05682,C(C(=O)O)P(=O)(O)O
C00519_Hypotaurine,VVIUBCNYACGLLV-UHFFFAOYSA-N,HMDB0000965,C00519,C(CS(=O)O)N
C00864_Pantothenate,GHOKWGTUZJEAQD-ZETCQYMHSA-N,HMDB0000210,C00864,CC(C)(CO)[C@H](C(=O)NCCC(=O)O)O
C00062_Arg,ODKSFYDXXFIFQN-BYPYZUCNSA-N,HMDB0000517,C00062,C(C[C@@H](C(=O)O)N)CN=C(N)N
C01204_Phytate,IMQLKJBTEOYOSI-GPIVLXJGSA-N,HMDB0003502,C01204,
C01546_2-Furoate,SMNDYUVBFMFKNZ-UHFFFAOYSA-N,HMDB0000617,C01546,C1=COC(=C1)C(=O)O
C00109_2-Oxobutyrate,TYEYBOSBBBHJIV-UHFFFAOYSA-N,HMDB0000005,C00109,CCC(=O)C(=O)O
C00144_GMP,RQFCJASXJCIDSX-UUOKFMHZSA-N,HMDB0001397,C00144,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=NC2=O)N
C00167_UDP-glucuronate,HDYANYHVCAPMJV-LXQIFKJMSA-N,HMDB0000935,C00167,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O)O
C00568_p-Aminobenzoate,ALYNCZNDIQEVRV-UHFFFAOYSA-N,HMDB0001392,C00568,C1=CC(=CC=C1C(=O)O)N
C00140_N-Acetylglucosamine,OVRNDRQMDRJTHS-RTRLPJTCSA-N,HMDB0000215,C00140,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O
C00860_Histidinol,ZQISRDCJNBUVMM-YFKPBYRVSA-N,HMDB0003431,C00860,C1=C(NC=N1)C[C@@H](CO)N
C00719_Betaine,KWIUHFFTVRNATP-UHFFFAOYSA-N,HMDB0000043,C00719,C[N+](C)(C)CC(=O)[O-]
C00047_Lys,KDXKERNSBIXSRK-YFKPBYRVSA-N,HMDB0000182,C00047,C(CCN)C[C@@H](C(=O)O)N
C01367_3'-AMP,LNQVTSROQXJCDD-KQYNXXCUSA-N,HMDB0003540,C01367,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O)O)N
C00612_N1-Acetylspermidine,MQTAVJHICJWXBR-UHFFFAOYSA-N,HMDB0001276,C00612,CC(=O)NCCCNCCCCN
C00956_alpha-Aminoadipate,OYIFNHCXNCRBQI-BYPYZUCNSA-N,HMDB0000510,C00956,C(C[C@@H](C(=O)O)N)CC(=O)O
C00669_gamma-Glu-cys,RITKHVBHSGLULN-WHFBIAKZSA-N,HMDB0001049,C00669,C(CC(=O)N[C@@H](CS)C(=O)O)[C@@H](C(=O)O)N
C00386_Carnosine,CQOVPNPJLQNMDC-ZETCQYMHSA-N,HMDB0000033,C00386,C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN
C16741_5-Hydroxylysine,YSMODUONRAFBET-UHNVWZDZSA-N,HMDB0000450,C16741,C(C[C@@H](C(=O)O)N)[C@H](CN)O
C06104_Adipate,WNLRTRBMVRJNCN-UHFFFAOYSA-N,HMDB0000448,C06104,C(CCC(=O)O)CC(=O)O
C00096_GDP-mannose,MVMSCBBUIHUTGJ-GDJBGNAASA-N,HMDB0062759,C00096,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)NC(=NC2=O)N
C02713_N-Acetylmuramate,MNLRQHMNZILYPY-MKFCKLDKSA-N,HMDB0060493,C02713,C[C@H](C(=O)O)O[C@H]1[C@@H]([C@H](OC([C@@H]1NC(=O)C)O)CO)O
C00035_GDP,QGWNDRXFNXRZMB-UUOKFMHZSA-N,HMDB0001201,C00035,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N
"C02465_3,3',5-Triiodothyronine",AUYYCJSJGJYCDS-LBPRGKRZSA-N,HMDB0000265,C02465,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O
C00111_DHAP,GNGACRATGGDKBX-UHFFFAOYSA-N,HMDB0001473,C00111,C(C(=O)COP(=O)(O)O)O
C17714_Heptanoate,MNWFXJYAOYHMED-UHFFFAOYSA-N,HMDB0000666,C17714,CCCCCCC(=O)O
C00785_Urocanate,LOIYMIARKYCTBW-OWOJBTEDSA-N,HMDB0000301,C00785,C1=C(NC=N1)/C=C/C(=O)O
C01740_Octylamine,IOQPZZOEVPZRBK-UHFFFAOYSA-N,,C01740,CCCCCCCCN
C00398_Tryptamine,APJYDQYYACXCRM-UHFFFAOYSA-N,HMDB0000303,C00398,C1=CC=C2C(=C1)C(=CN2)CCN
C06772_Diethanolamine,ZBCBWPMODOFKDW-UHFFFAOYSA-N,HMDB0004437,C06772,C(CO)NCCO
C00314_Pyridoxine,LXNHXLLTXMVWPM-UHFFFAOYSA-N,HMDB0000239,C00314,CC1=NC=C(C(=C1O)CO)CO
C00571_Cyclohexylamine,PAFZNILMFXTMIY-UHFFFAOYSA-N,HMDB0031404,C00571,C1CCC(CC1)N
C00639_Prostaglandin F2alpha,PXGPLTODNUVGFL-YNNPMVKQSA-N,HMDB0001139,C00639,CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O)O
C00128_CMP-N-acetylneuraminate,TXCIAUNLDRJGJZ-BILDWYJOSA-N,HMDB0001176,C00128,CC(=O)N[C@@H]1[C@H](C[C@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)O)O
C00004_NADH,BOPGDPNILDQYTO-NNYOXOHSSA-N,HMDB0000902,C00004,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
C02787_Isobutylamine,KDSNLYIMUZNERS-UHFFFAOYSA-N,HMDB0034198,C02787,CC(C)CN
C00099_beta-Ala,UCMIRNVEIXFBKS-UHFFFAOYSA-N,HMDB0000056,C00099,C(CN)C(=O)O
"C02953_7,8-Dihydrobiopterin",FEMXZDUTFRTWPE-DZSWIPIPSA-N,HMDB0000038,C02953,C[C@@H]([C@@H](C1=NC2=C(NC1)NC(=NC2=O)N)O)O
C00214_Thymidine,IQFYYKKMVGJFEH-XLPZGREQSA-N,HMDB0000273,C00214,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O
C02595_2-Thiopheneacetate,SMJRBWINMFUUDS-UHFFFAOYSA-N,HMDB0029718,C02595,C1=CSC(=C1)CC(=O)O
C05670_3-Aminopropionitrile,AGSPXMVUFBBBMO-UHFFFAOYSA-N,HMDB0004101,C05670,C(CN)C#N
C00576_Betaine aldehyde,SXKNCCSPZDCRFD-UHFFFAOYSA-N,HMDB0001252,C00576,C[N+](C)(C)CC=O
C02242_7-Methylguanine,FZWGECJQACGGTI-UHFFFAOYSA-N,HMDB0000897,C02242,CN1C=NC2=C1C(=O)N=C(N2)N
C04548_Synephrine,YRCWQPVGYLYSOX-UHFFFAOYSA-N,HMDB0004826,C04548,CNCC(C1=CC=C(C=C1)O)O
C04677_AICAR,NOTGFIUVDGNKRI-UUOKFMHZSA-N,HMDB0001517,C04677,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N)C(=O)N
C00092_G6P,NBSCHQHZLSJFNQ-GASJEMHNSA-N,HMDB0001401,C00092,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O
C00388_Histamine,NTYJJOPFIAHURM-UHFFFAOYSA-N,HMDB0000870,C00388,C1=C(NC=N1)CCN
C08261_Azelate,BDJRBEYXGGNYIS-UHFFFAOYSA-N,HMDB0000784,C08261,C(CCCC(=O)O)CCCC(=O)O
-_3-Indoxyl sulfate,BXFFHSIDQOFMLE-UHFFFAOYSA-N,HMDB0000682,,C1=CC=C2C(=C1)C(=CN2)OS(=O)(=O)O
C01005_O-Phosphoserine,BZQFBWGGLXLEPQ-REOHCLBHSA-N,HMDB0000272,C01005,C([C@@H](C(=O)O)N)OP(=O)(O)O
C03139_Guanidinosuccinate,VVHOUVWJCQOYGG-REOHCLBHSA-N,HMDB0003157,C03139,C([C@@H](C(=O)O)N=C(N)N)C(=O)O
"C03283_2,4-Diaminobutyrate",OGNSCSPNOLGXSM-VKHMYHEASA-N,HMDB0002362,C03283,C(CN)[C@@H](C(=O)O)N
C01046_N-Methylglutamate,XLBVNMSMFQMKEY-BYPYZUCNSA-N,HMDB0062660,C01046,CN[C@@H](CCC(=O)O)C(=O)O
C10901_2-Aminobenzimidazole,JWYUFVNJZUSCSM-UHFFFAOYSA-N,,C10901,C1=CC=C2C(=C1)NC(=N2)N
C02504_2-Isopropylmalate,BITYXLXUCSKTJS-ZETCQYMHSA-N,HMDB0000402,C02504,CC(C)[C@@](CC(=O)O)(C(=O)O)O
C00170_5-Methylthioadenosine,WUUGFSXJNOTRMR-IOSLPCCCSA-N,HMDB0001173,C00170,CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O
C01571_Decanoate,GHVNFZFCNZKVNT-UHFFFAOYSA-N,HMDB0000511,C01571,CCCCCCCCCC(=O)O
C01772_o-Coumarate,PMOWTIHVNWZYFI-AATRIKPKSA-N,HMDB0002641,C01772,C1=CC=C(C(=C1)/C=C/C(=O)O)O
C00647_Pyridoxamine 5'-phosphate,ZMJGSOSNSPKHNH-UHFFFAOYSA-N,HMDB0001555,C00647,CC1=NC=C(C(=C1O)CN)COP(=O)(O)O
C05824_Cysteine S-sulfate,NOKPBJYHPHHWAN-REOHCLBHSA-N,HMDB0000731,C05824,C([C@@H](C(=O)O)N)SS(=O)(=O)O
C03618_threo-beta-methylaspartate,LXRUAYBIUSUULX-HRFVKAFMSA-N,,C03618,C[C@@H]([C@@H](C(=O)O)N)C(=O)O
C00643_5-Hydroxytryptophan,LDCYZAJDBXYCGN-VIFPVBQESA-N,HMDB0000472,C00643,C1=CC2=C(C=C1O)C(=CN2)C[C@@H](C(=O)O)N
C00008_ADP,XTWYTFMLZFPYCI-KQYNXXCUSA-N,HMDB0001341,C00008,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N
C00745_Nicotine,SNICXCGAKADSCV-JTQLQIEISA-N,HMDB0001934,C00745,CN1CCC[C@H]1C2=CN=CC=C2
C00357_N-Acetylglucosamine 6-phosphate,BRGMHAYQAZFZDJ-RTRLPJTCSA-N,HMDB0002817,C00357,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)COP(=O)(O)O)O)O
C00179_Agmatine,QYPPJABKJHAVHS-UHFFFAOYSA-N,HMDB0001432,C00179,C(CCN=C(N)N)CN
C00499_Allantoate,NUCLJNSWZCHRKL-UHFFFAOYSA-N,HMDB0001209,C00499,C(C(=O)O)(NC(=O)N)NC(=O)N
C00881_2'-Deoxycytidine,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,HMDB0000014,C00881,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O
C05512_2'-Deoxyinosine,VGONTNSXDCQUGY-RRKCRQDMSA-N,HMDB0000071,C05512,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)CO)O
C05562_4-Hydroxymethylimidazole,QDYTUZCWBJRHKK-UHFFFAOYSA-N,,C05562,C1=C(NC=N1)CO
C00482_Sinapate,PCMORTLOPMLEFB-ONEGZZNKSA-N,HMDB0032616,C00482,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)O
C01035_gamma-Guanidinobutyrate,TUHVEAJXIMEOSA-UHFFFAOYSA-N,HMDB0003464,C01035,C(CC(=O)O)CN=C(N)N
"C00628_2,5-Dihydroxybenzoate",WXTMDXOMEHJXQO-UHFFFAOYSA-N,HMDB0000152,C00628,C1=CC(=C(C=C1O)C(=O)O)O
C04037_Galacturonate 1-phosphate,AIQDYKMWENWVQJ-DTEWXJGMSA-N,,C04037,[C@@H]1([C@H]([C@H](O[C@@H]([C@@H]1O)OP(=O)(O)O)C(=O)O)O)O
-_4-Oxopentanoate,JOOXCMJARBKPKM-UHFFFAOYSA-N,HMDB0000720,,CC(=O)CCC(=O)O
C00049_Asp,CKLJMWTZIZZHCS-REOHCLBHSA-N,HMDB0000191,C00049,C([C@@H](C(=O)O)N)C(=O)O
C06818_Amantadine,DKNWSYNQZKUICI-UHFFFAOYSA-N,HMDB0015051,C06818,C1C2CC3CC1CC(C2)(C3)N
C00246_Butyrate,FERIUCNNQQJTOY-UHFFFAOYSA-N,HMDB0000039,C00246,CCCC(=O)O
C01959_Taurocyamine,JKLRIMRKZBSSED-UHFFFAOYSA-N,HMDB0003584,C01959,C(CS(=O)(=O)O)N=C(N)N
C05942_Pyrrole-2-carboxylate,WRHZVMBBRYBTKZ-UHFFFAOYSA-N,HMDB0004230,C05942,C1=CNC(=C1)C(=O)O
C00079_Phe,COLNVLDHVKWLRT-QMMMGPOBSA-N,HMDB0000159,C00079,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
C03969_1-Amino-1-cyclopentanecarboxylate,NILQLFBWTXNUOE-UHFFFAOYSA-N,HMDB0062225,C03969,C1CCC(C1)(C(=O)O)N
C00695_Cholate,BHQCQFFYRZLCQQ-OELDTZBJSA-N,HMDB0000619,C00695,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C
C00460_dUTP,AHCYMLUZIRLXAA-SHYZEUOFSA-N,HMDB0001191,C00460,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
C00141_2-Oxoisopentanoate,QHKABHOOEWYVLI-UHFFFAOYSA-N,HMDB0000019,C00141,CC(C)C(=O)C(=O)O
C02714_N-Acetylputrescine,KLZGKIDSEJWEDW-UHFFFAOYSA-N,HMDB0002064,C02714,CC(=O)NCCCCN
"C01060_3,5-Diiodo-tyrosine",NYPYHUZRZVSYKL-ZETCQYMHSA-N,,C01060,C1=C(C=C(C(=C1I)O)I)C[C@@H](C(=O)O)N
C04294_4-Methyl-5-thiazoleethanol,BKAWJIRCKVUVED-UHFFFAOYSA-N,HMDB0032985,C04294,CC1=C(SC=N1)CCO
C02823_Cyanocobalamin,RMRCNWBMXRMIRW-UVKKECPRSA-L,HMDB0000607,C02823,
C01152_3-Methylhistidine,JDHILDINMRGULE-LURJTMIESA-N,HMDB0000479,C01152,CN1C=NC=C1C[C@@H](C(=O)O)N
C05771_Isopropanolamine,HXKKHQJGJAFBHI-UHFFFAOYSA-N,HMDB0012136,C05771,CC(CN)O
C07166_Trientine,VILCJCGEZXAXTO-UHFFFAOYSA-N,,C07166,C(CNCCNCCN)N
C01104_Trimethylamine N-oxide,UYPYRKYUKCHHIB-UHFFFAOYSA-N,HMDB0000925,C01104,C[N+](C)(C)[O-]
C00481_Pyrazole,WTKZEGDFNFYCGP-UHFFFAOYSA-N,,C00481,C1=CNN=C1
