,inchikey,hmdb,kegg,inchi code
HILIC-pos_Cluster_0728: 2-deoxyadenosine,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,HMDB0000101,C00559,
C18-neg_Cluster_0394: 9.10-diHOME,XEBKSQSGNGRGDW-YFHOEESVSA-N,HMDB0004704,,
HILIC-pos_Cluster_0048: betaine,KWIUHFFTVRNATP-UHFFFAOYSA-N,HMDB0000043,C00719,
C18-neg_Cluster_1060: chenodeoxycholate,RUDATBOHQWOJDD-BSWAIDMHSA-N,HMDB0000518,C02528,
C8-pos_Cluster_0341: N-oleoylethanolamine ,BOWVQLFMWHZBEF-KTKRTIGZSA-N,HMDB0002088,,
HILIC-neg_Cluster_0296: citrulline,RHGKLRLOHDJJDR-BYPYZUCNSA-N,HMDB0000904,C00327,
HILIC-neg_Cluster_0122: erythronic acid,JPIJQSOTBSSVTP-PWNYCUMCSA-N,HMDB0000613,,
C18-neg_Cluster_0079: undecanedionate,LWBHHRRTOZQPDM-UHFFFAOYSA-N,HMDB0000888,,
C18-neg_Cluster_0025: acesulfame,YGCFIWIQZPHFLU-UHFFFAOYSA-N,HMDB0033585,,
HILIC-neg_Cluster_0290: arginine,ODKSFYDXXFIFQN-BYPYZUCNSA-N,HMDB0000517,C00062,
HILIC-pos_Cluster_0268: pyridoxamine,NHZMQXZHNVQTQA-UHFFFAOYSA-N,HMDB0001431,C00534,
HILIC-neg_Cluster_0452: tryptophan,QIVBCDIJIAJPQS-VIFPVBQESA-N,HMDB0000929,C00078,
HILIC-pos_Cluster_0822: inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N,HMDB0000195,C00294,
HILIC-pos_Cluster_0062: nicotinic acid,PVNIIMVLHYAWGP-UHFFFAOYSA-N,HMDB0001488,C00253,
C8-pos_Cluster_0478: cholestenone,NYOXRYYXRWJDKP-GYKMGIIDSA-N,HMDB0000921,C00599,
HILIC-pos_Cluster_0121: imidazole propionate,ZCKYOWGFRHAZIQ-UHFFFAOYSA-N,HMDB0002271,C20522,
C18-neg_Cluster_1574: taurochenodesoxycholic acid,BHTRKEVKTKCXOH-BJLOMENOSA-N,HMDB0000951,C05465,
HILIC-neg_Cluster_0166: glutamate,WHUUTDBJXJRKMK-VKHMYHEASA-N,HMDB0000148,C00025,
C18-neg_Cluster_1803: maslinic acid,MDZKJHQSJHYOHJ-LLICELPBSA-N,HMDB0002392,C16939,
C18-neg_Cluster_0107: myristic acid,TUNFSRHWOTWDNC-UHFFFAOYSA-N,HMDB0000806,C06424,
HILIC-neg_Cluster_0084: 4-methylcatechol,ZBCATMYQYDCTIZ-UHFFFAOYSA-N,HMDB0000873,C06730,
HILIC-neg_Cluster_0173: methionine,FFEARJCKVFRZRR-BYPYZUCNSA-N,HMDB0000696,C00073,
HILIC-pos_Cluster_0524: N-acetyl-L-arginine,SNEIUMQYRCDYCH-LURJTMIESA-N,HMDB0004620,,
HILIC-neg_Cluster_0103: acetylalanine,LJLLAWRMBZNPMO-UHFFFAOYSA-N,HMDB0000766,C01073,
HILIC-neg_Cluster_0066: valine,KZSNJWFQEVHDMF-BYPYZUCNSA-N,HMDB0000883,C00183,
C8-pos_Cluster_0168: palmitoylethanolamide,HXYVTAGFYLMHSO-UHFFFAOYSA-N,HMDB0002100,C16512,
HILIC-pos_Cluster_0817: atenolol,AEQDBKHAAWUCMT-UHFFFAOYSA-N,HMDB0001924,C13235,
HILIC-pos_Cluster_0091: leucine,ROHFNLRQFUQHCH-YFKPBYRVSA-N,HMDB0000687,C00123,
C18-neg_Cluster_1596: oleanolic acid,MIJYXULNPSFWEK-GTOFXWBISA-N,HMDB0002364,C17148,
C18-neg_Cluster_1292: chenodeoxycholate,RUDATBOHQWOJDD-BSWAIDMHSA-N,HMDB0000518,C02528,
C18-neg_Cluster_0900: ketodeoxycholate,RHCPKKNRWFXMAT-RRWYKFPJSA-N,HMDB0000391,,
HILIC-pos_Cluster_0374: N-acetylspermidine,MQTAVJHICJWXBR-UHFFFAOYSA-N,HMDB0001276,C00612,
HILIC-neg_Cluster_0079: 4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,HMDB0011718,C00633,
C18-neg_Cluster_0729: docosapentaenoic acid ,YUFFSWGQGVEMMI-JLNKQSITSA-N,HMDB0006528,C16513,
HILIC-neg_Cluster_1303: lithocholate,SMEROWZSTRWXGI-WFVDQZAMSA-N,HMDB0000717,C17658,
C18-neg_Cluster_0004: 4-hydroxystyrene,FUGYGGDSWSUORM-UHFFFAOYSA-N,HMDB0004072,C05627,
C18-neg_Cluster_0515: palmitoylethanolamide,HXYVTAGFYLMHSO-UHFFFAOYSA-N,HMDB0002100,C16512,
HILIC-pos_Cluster_0157: lysine,KDXKERNSBIXSRK-YFKPBYRVSA-N,HMDB0000182,C00047,
HILIC-pos_Cluster_0379: trimethyllysine,MXNRLFUSFKVQSK-QMMMGPOBSA-N,HMDB0001325,C03793,
HILIC-neg_Cluster_0677: cystine,LEVWYRKDKASIDU-IMJSIDKUSA-N,HMDB0000192,C00491,
HILIC-pos_Cluster_0913: ethyl 9-hexadecenoate,JELGPLUONQGOHF-MDZDMXLPSA-N,HMDB0059871,,
HILIC-pos_Cluster_0038: N-acetylputrescine,KLZGKIDSEJWEDW-UHFFFAOYSA-N,HMDB0002064,C02714,
HILIC-neg_Cluster_0156: caprylic acid,WWZKQHOCKIZLMA-UHFFFAOYSA-N,HMDB0000482,C06423,
C18-neg_Cluster_0393: 12.13-diHOME,CQSLTKIXAJTQGA-FLIBITNWSA-N,HMDB0004705,C14829,
HILIC-pos_Cluster_1113: phytosphingosine,AERBNCYCJBRYDG-KSZLIROESA-N,HMDB0004610,C12144,
HILIC-pos_Cluster_0036: creatinine,DDRJAANPRJIHGJ-UHFFFAOYSA-N,HMDB0000562,C00791,
HILIC-neg_Cluster_0125: phenylacetate,WLJVXDMOQOGPHL-UHFFFAOYSA-N,HMDB0000209,C07086,
HILIC-neg_Cluster_0169: 2-hydroxyglutarate,HWXBTNAVRSUOJR-UHFFFAOYSA-N,HMDB0059655,C02630,
HILIC-pos_Cluster_0657: geranyl acetoacetate*,RYILZWKGLGVPOC-WQLSENKSSA-N,HMDB0038256,,
HILIC-pos_Cluster_0383: kynurenic acid,HCZHHEIFKROPDY-UHFFFAOYSA-N,HMDB0000715,C01717,
HILIC-neg_Cluster_0020: lactate,JVTAAEKCZFNVCJ-REOHCLBHSA-N,HMDB0000190,C00186,
