,inchikey,hmdb,kegg,inchi code
C03752_Glucosaminate,UFYKDFXCZBTLOO-TXICZTDVSA-N,METPA0433,C03752,"InChI=1S/C6H13NO6/c7-3(6(12)13)5(11)4(10)2(9)1-8/h2-5,8-11H,1,7H2,(H,12,13)/t2-,3-,4-,5-/m1/s1"
C00700_XTP,CAEFEWVYEZABLA-UUOKFMHZSA-N,HMDB0000293,C00700,"InChI=1S/C10H15N4O15P3/c15-5-3(1-26-31(22,23)29-32(24,25)28-30(19,20)21)27-9(6(5)16)14-2-11-4-7(14)12-10(18)13-8(4)17/h2-3,5-6,9,15-16H,1H2,(H,22,23)(H,24,25)(H2,19,20,21)(H2,12,13,17,18)/t3-,5-,6-,9-/m1/s1"
C03173_(Methylthio)acetate,HGTBAIVLETUVCG-UHFFFAOYSA-N,HMDB0035646,C03173,"InChI=1S/C3H6O2S/c1-6-2-3(4)5/h2H2,1H3,(H,4,5)"
C01008_Trimethylsulfonium,NRZWQKGABZFFKE-UHFFFAOYSA-N,HMDB0012295,C01008,InChI=1S/C3H9S/c1-4(2)3/h1-3H3/q+1
C06325_2-Quinolinecarboxylate,LOAUVZALPPNFOQ-UHFFFAOYSA-N,HMDB0000842,C06325,"InChI=1S/C10H7NO2/c12-10(13)9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,(H,12,13)"
C03626_ADMA,YDGMGEXADBMOMJ-LURJTMIESA-N,HMDB0001539,C03626,"InChI=1S/C8H18N4O2/c1-12(2)8(10)11-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H2,10,11)(H,13,14)/t6-/m0/s1"
C02774_10-Hydroxydecanoate,YJCJVMMDTBEITC-UHFFFAOYSA-N,,C02774,"InChI=1S/C10H20O3/c11-9-7-5-3-1-2-4-6-8-10(12)13/h11H,1-9H2,(H,12,13)"
C06337_Terephthalate,KKEYFWRCBNTPAC-UHFFFAOYSA-N,HMDB0061917,C06337,"InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)"
C02230_3-Methylguanine,XHBSBNYEHDQRCP-UHFFFAOYSA-N,HMDB0001566,C02230,"InChI=1S/C6H7N5O/c1-11-4-3(8-2-9-4)5(12)10-6(11)7/h2H,1H3,(H,8,9)(H2,7,10,12)"
C00440_5-Methyltetrahydrofolate,ZNOVTXRBGFNYRX-ABLWVSNPSA-N,HMDB0001396,C00440,"InChI=1S/C20H25N7O6/c1-27-12(9-23-16-15(27)18(31)26-20(21)25-16)8-22-11-4-2-10(3-5-11)17(30)24-13(19(32)33)6-7-14(28)29/h2-5,12-13,22H,6-9H2,1H3,(H,24,30)(H,28,29)(H,32,33)(H4,21,23,25,26,31)/t12?,13-/m0/s1"
C02721_N-Methylalanine,GDFAOVXKHJXLEI-VKHMYHEASA-N,HMDB0094692,C02721,"InChI=1S/C4H9NO2/c1-3(5-2)4(6)7/h3,5H,1-2H3,(H,6,7)/t3-/m0/s1"
C01425_Glu-Glu,KOSRFJWDECSPRO-WDSKDSINSA-N,HMDB0028818,C01425,"InChI=1S/C10H16N2O7/c11-5(1-3-7(13)14)9(17)12-6(10(18)19)2-4-8(15)16/h5-6H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1"
C02693_Indole-3-acetamide,ZOAMBXDOGPRZLP-UHFFFAOYSA-N,HMDB0029739,C02693,"InChI=1S/C10H10N2O/c11-10(13)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,12H,5H2,(H2,11,13)"
C00091_Succinyl CoA,VNOYUJKHFWYWIR-ITIYDSSPSA-N,HMDB0001022,C00091,"InChI=1S/C25H40N7O19P3S/c1-25(2,20(38)23(39)28-6-5-14(33)27-7-8-55-16(36)4-3-15(34)35)10-48-54(45,46)51-53(43,44)47-9-13-19(50-52(40,41)42)18(37)24(49-13)32-12-31-17-21(26)29-11-30-22(17)32/h11-13,18-20,24,37-38H,3-10H2,1-2H3,(H,27,33)(H,28,39)(H,34,35)(H,43,44)(H,45,46)(H2,26,29,30)(H2,40,41,42)/t13-,18-,19-,20+,24-/m1/s1"
C04677_AICAR,NOTGFIUVDGNKRI-UUOKFMHZSA-N,HMDB0001517,C04677,"InChI=1S/C9H15N4O8P/c10-7-4(8(11)16)12-2-13(7)9-6(15)5(14)3(21-9)1-20-22(17,18)19/h2-3,5-6,9,14-15H,1,10H2,(H2,11,16)(H2,17,18,19)/t3-,5-,6-,9-/m1/s1"
C11118_1-Methyl-2-pyrrolidinone,SECXISVLQFMRJM-UHFFFAOYSA-N,HMDB0002039,C11118,"InChI=1S/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3"
C00575_cAMP,IVOMOUWHDPKRLL-KQYNXXCUSA-N,HMDB0000058,C00575,"InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1"
C00612_N1-Acetylspermidine,MQTAVJHICJWXBR-UHFFFAOYSA-N,HMDB0001276,C00612,"InChI=1S/C9H21N3O/c1-9(13)12-8-4-7-11-6-3-2-5-10/h11H,2-8,10H2,1H3,(H,12,13)"
C02595_2-Thiopheneacetate,SMJRBWINMFUUDS-UHFFFAOYSA-N,HMDB0029718,C02595,"InChI=1S/C6H6O2S/c7-6(8)4-5-2-1-3-9-5/h1-3H,4H2,(H,7,8)"
C03794_Adenylosuccinate,OFBHPPMPBOJXRT-VWJPMABRSA-N,HMDB0000536,C03794,"InChI=1S/C14H18N5O11P/c20-7(21)1-5(14(24)25)18-11-8-12(16-3-15-11)19(4-17-8)13-10(23)9(22)6(30-13)2-29-31(26,27)28/h3-6,9-10,13,22-23H,1-2H2,(H,20,21)(H,24,25)(H,15,16,18)(H2,26,27,28)/t5-,6+,9+,10+,13+/m0/s1"
C00106_Uracil,ISAKRJDGNUQOIC-UHFFFAOYSA-N,HMDB0000300,C00106,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)"
C00431_5-Aminovalerate,JJMDCOVWQOJGCB-UHFFFAOYSA-N,HMDB0003355,C00431,"InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)"
"C11003_2,4-Dimethylaniline",CZZZABOKJQXEBO-UHFFFAOYSA-N,,C11003,"InChI=1S/C8H11N/c1-6-3-4-8(9)7(2)5-6/h3-5H,9H2,1-2H3"
C00037_Gly,DHMQDGOQFOQNFH-UHFFFAOYSA-N,HMDB0000123,C00037,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)"
C00803_Pentanoate,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,HMDB0000892,C00803,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)"
C01013_3-Hydroxypropionate,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,HMDB0000700,C01013,"InChI=1S/C3H6O3/c4-2-1-3(5)6/h4H,1-2H2,(H,5,6)"
C17714_Heptanoate,MNWFXJYAOYHMED-UHFFFAOYSA-N,HMDB0000666,C17714,"InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)"
C05670_3-Aminopropionitrile,AGSPXMVUFBBBMO-UHFFFAOYSA-N,HMDB0004101,C05670,"InChI=1S/C3H6N2/c4-2-1-3-5/h1-2,4H2"
C00315_Spermidine,ATHGHQPFGPMSJY-UHFFFAOYSA-N,HMDB0001257,C00315,"InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2"
C00029_UDP-glucose,HSCJRCZFDFQWRP-JZMIEXBBSA-N,HMDB0000286,C00029,"InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8-,9-,10+,11-,12-,13-,14-/m1/s1"
C00458_dCTP,RGWHQCVHVJXOKC-SHYZEUOFSA-N,HMDB0000998,C00458,"InChI=1S/C9H16N3O13P3/c10-7-1-2-12(9(14)11-7)8-3-5(13)6(23-8)4-22-27(18,19)25-28(20,21)24-26(15,16)17/h1-2,5-6,8,13H,3-4H2,(H,18,19)(H,20,21)(H2,10,11,14)(H2,15,16,17)/t5-,6+,8+/m0/s1"
C00099_beta-Ala,UCMIRNVEIXFBKS-UHFFFAOYSA-N,HMDB0000056,C00099,"InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)"
C00322_2-Oxoadipate,FGSBNBBHOZHUBO-UHFFFAOYSA-N,HMDB0000225,C00322,"InChI=1S/C6H8O5/c7-4(6(10)11)2-1-3-5(8)9/h1-3H2,(H,8,9)(H,10,11)"
"C01159_2,3-DPG",XOHUEYCVLUUEJJ-UWTATZPHSA-N,HMDB0001294,C01159,"InChI=1S/C3H8O10P2/c4-3(5)2(13-15(9,10)11)1-12-14(6,7)8/h2H,1H2,(H,4,5)(H2,6,7,8)(H2,9,10,11)/t2-/m1/s1"
C00719_Betaine,KWIUHFFTVRNATP-UHFFFAOYSA-N,HMDB0000043,C00719,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3"
C00490_Itaconate,LVHBHZANLOWSRM-UHFFFAOYSA-N,HMDB0002092,C00490,"InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h1-2H2,(H,6,7)(H,8,9)"
"C03114_5,6-Dimethylbenzimidazole",LJUQGASMPRMWIW-UHFFFAOYSA-N,HMDB0003701,C03114,"InChI=1S/C9H10N2/c1-6-3-8-9(4-7(6)2)11-5-10-8/h3-5H,1-2H3,(H,10,11)"
C00695_Cholate,BHQCQFFYRZLCQQ-OELDTZBJSA-N,HMDB0000619,C00695,"InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1"
C00239_dCMP,NCMVOABPESMRCP-SHYZEUOFSA-N,HMDB0001202,C00239,"InChI=1S/C9H14N3O7P/c10-7-1-2-12(9(14)11-7)8-3-5(13)6(19-8)4-18-20(15,16)17/h1-2,5-6,8,13H,3-4H2,(H2,10,11,14)(H2,15,16,17)/t5-,6+,8+/m0/s1"
C09816_Benzylsuccinate,GTOFKXZQQDSVFH-SECBINFHSA-N,HMDB0142179,C09816,"InChI=1S/C11H12O4/c12-10(13)7-9(11(14)15)6-8-4-2-1-3-5-8/h1-5,9H,6-7H2,(H,12,13)(H,14,15)/t9-/m1/s1"
C00715_Pterin,HNXQXTQTPAJEJL-UHFFFAOYSA-N,HMDB0000802,C00715,"InChI=1S/C6H5N5O/c7-6-10-4-3(5(12)11-6)8-1-2-9-4/h1-2H,(H3,7,9,10,11,12)"
C00785_Urocanate,LOIYMIARKYCTBW-OWOJBTEDSA-N,HMDB0000301,C00785,"InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)/b2-1+"
C00008_ADP,XTWYTFMLZFPYCI-KQYNXXCUSA-N,HMDB0001341,C00008,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1"
C05771_Isopropanolamine,HXKKHQJGJAFBHI-UHFFFAOYSA-N,HMDB0012136,C05771,"InChI=1S/C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3"
C00024_Acetyl CoA,ZSLZBFCDCINBPY-ZSJPKINUSA-N,HMDB0001206,C00024,"InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/t13-,16-,17-,18+,22-/m1/s1"
C00482_Sinapate,PCMORTLOPMLEFB-ONEGZZNKSA-N,HMDB0032616,C00482,"InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+"
C00565_Trimethylamine,GETQZCLCWQTVFV-UHFFFAOYSA-N,HMDB0000906,C00565,InChI=1S/C3H9N/c1-4(2)3/h1-3H3
C00455_NMN,DAYLJWODMCOQEW-TURQNECASA-N,HMDB0000229,C00455,"InChI=1S/C11H15N2O8P/c12-10(16)6-2-1-3-13(4-6)11-9(15)8(14)7(21-11)5-20-22(17,18)19/h1-4,7-9,11,14-15H,5H2,(H3-,12,16,17,18,19)/t7-,8-,9-,11-/m1/s1"
C00233_4-Methyl-2-oxopentanoate,BKAJNAXTPSGJCU-UHFFFAOYSA-N,HMDB0000695,C00233,"InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)"
C07091_3-Acetylacrylate,XGTKSWVCNVUVHG-IHWYPQMZSA-N,HMDB0060461,C07091,"InChI=1S/C5H6O3/c1-4(6)2-3-5(7)8/h2-3H,1H3,(H,7,8)/b3-2-"
C01004_Trigonelline,WWNNZCOKKKDOPX-UHFFFAOYSA-N,HMDB0000875,C01004,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3"
"C03793_N6,N6,N6-Trimethyllysine",MXNRLFUSFKVQSK-QMMMGPOBSA-N,HMDB0001325,C03793,"InChI=1S/C9H20N2O2/c1-11(2,3)7-5-4-6-8(10)9(12)13/h8H,4-7,10H2,1-3H3/t8-/m0/s1"
C00783_Tropinone,QQXLDOJGLXJCSE-UHFFFAOYSA-N,METPA0078,C00783,"InChI=1S/C8H13NO/c1-9-6-2-3-7(9)5-8(10)4-6/h6-7H,2-5H2,1H3"
C00334_GABA,BTCSSZJGUNDROE-UHFFFAOYSA-N,HMDB0000112,C00334,"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)"
C00292_Aniline,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,HMDB0003012,C00292,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2"
C00257_Gluconate,RGHNJXZEOKUKBD-SQOUGZDYSA-N,HMDB0000625,C00257,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3-,4+,5-/m1/s1"
C02037_Gly-Gly,YMAWOPBAYDPSLA-UHFFFAOYSA-N,HMDB0011733,C02037,"InChI=1S/C4H8N2O3/c5-1-3(7)6-2-4(8)9/h1-2,5H2,(H,6,7)(H,8,9)"
C01029_N8-Acetylspermidine,FONIWJIDLJEJTL-UHFFFAOYSA-N,HMDB0002189,C01029,"InChI=1S/C9H21N3O/c1-9(13)12-8-3-2-6-11-7-4-5-10/h11H,2-8,10H2,1H3,(H,12,13)"
C02918_1-Methylnicotinamide,LDHMAVIPBRSVRG-UHFFFAOYSA-O,HMDB0000699,C02918,"InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1"
C04483_DCA,KXGVEGMKQFWNSR-LLQZFEROSA-N,HMDB0000626,C04483,"InChI=1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16-,17+,18-,19+,20+,21+,23+,24-/m1/s1"
C01419_Cys-Gly,ZUKPVRWZDMRIEO-VKHMYHEASA-N,HMDB0000078,C01419,"InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1"
C00364_dTMP,GYOZYWVXFNDGLU-XLPZGREQSA-N,HMDB0001227,C00364,"InChI=1S/C10H15N2O8P/c1-5-3-12(10(15)11-9(5)14)8-2-6(13)7(20-8)4-19-21(16,17)18/h3,6-8,13H,2,4H2,1H3,(H,11,14,15)(H2,16,17,18)/t6-,7+,8+/m0/s1"
C02630_2-Hydroxyglutarate,HWXBTNAVRSUOJR-UHFFFAOYSA-N,HMDB0059655,C02630,"InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)"
C00092_G6P,NBSCHQHZLSJFNQ-GASJEMHNSA-N,HMDB0001401,C00092,"InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5-,6?/m1/s1"
C01104_Trimethylamine N-oxide,UYPYRKYUKCHHIB-UHFFFAOYSA-N,HMDB0000925,C01104,"InChI=1S/C3H9NO/c1-4(2,3)5/h1-3H3"
C00670_Glycerophosphorylcholine,SUHOQUVVVLNYQR-MRVPVSSYSA-O,HMDB0000086,C00670,"InChI=1S/C8H20NO6P/c1-9(2,3)4-5-14-16(12,13)15-7-8(11)6-10/h8,10-11H,4-7H2,1-3H3/p+1/t8-/m1/s1"
C01546_2-Furoate,SMNDYUVBFMFKNZ-UHFFFAOYSA-N,HMDB0000617,C01546,"InChI=1S/C5H4O3/c6-5(7)4-2-1-3-8-4/h1-3H,(H,6,7)"
C00294_Inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N,HMDB0000195,C00294,"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1"
C01081_Thiamine monophosphate,HZSAJDVWZRBGIF-UHFFFAOYSA-O,HMDB0002666,C01081,"InChI=1S/C12H17N4O4PS/c1-8-11(3-4-20-21(17,18)19)22-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7H,3-4,6H2,1-2H3,(H3-,13,14,15,17,18,19)/p+1"
C00147_Adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,HMDB0000034,C00147,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)"
C00842_TDP-glucose,YSYKRGRSMLTJNL-URARBOGNSA-N,HMDB0001328,C00842,"InChI=1S/C16H26N2O16P2/c1-6-3-18(16(25)17-14(6)24)10-2-7(20)9(31-10)5-30-35(26,27)34-36(28,29)33-15-13(23)12(22)11(21)8(4-19)32-15/h3,7-13,15,19-23H,2,4-5H2,1H3,(H,26,27)(H,28,29)(H,17,24,25)/t7-,8+,9+,10+,11+,12-,13+,15+/m0/s1"
C00206_dADP,DAEAPNUQQAICNR-RRKCRQDMSA-N,HMDB0001508,C00206,"InChI=1S/C10H15N5O9P2/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(23-7)2-22-26(20,21)24-25(17,18)19/h3-7,16H,1-2H2,(H,20,21)(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1"
C08311_Muscimol,ZJQHPWUVQPJPQT-UHFFFAOYSA-N,,C08311,"InChI=1S/C4H6N2O2/c5-2-3-1-4(7)6-8-3/h1H,2,5H2,(H,6,7)"
C00078_Trp,QIVBCDIJIAJPQS-VIFPVBQESA-N,HMDB0000929,C00078,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1"
C00329_Glucosamine,MSWZFWKMSRAUBD-IVMDWMLBSA-N,HMDB0001514,C00329,"InChI=1S/C6H13NO5/c7-3-5(10)4(9)2(1-8)12-6(3)11/h2-6,8-11H,1,7H2/t2-,3-,4-,5-,6?/m1/s1"
C00954_Indole-3-acetate,SEOVTRFCIGRIMH-UHFFFAOYSA-N,HMDB0000197,C00954,"InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)"
C00813_Barbiturate,HNYOPLTXPVRDBG-UHFFFAOYSA-N,HMDB0041833,C00813,"InChI=1S/C4H4N2O3/c7-2-1-3(8)6-4(9)5-2/h1H2,(H2,5,6,7,8,9)"
C00504_Folate,OVBPIULPVIDEAO-LBPRGKRZSA-N,HMDB0000121,C00504,"InChI=1S/C19H19N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,8,12,21H,5-7H2,(H,24,29)(H,27,28)(H,31,32)(H3,20,22,25,26,30)/t12-/m0/s1"
-_Phe-Phe,GKZIWHRNKRBEOH-UHFFFAOYSA-N,HMDB0013302,,"InChI=1S/C18H20N2O3/c19-15(11-13-7-3-1-4-8-13)17(21)20-16(18(22)23)12-14-9-5-2-6-10-14/h1-10,15-16H,11-12,19H2,(H,20,21)(H,22,23)"
C10898_2-Guanidinobenzimidazole,JJWCTKUQWXYIIU-UHFFFAOYSA-N,,C10898,"InChI=1S/C8H9N5/c9-7(10)13-8-11-5-3-1-2-4-6(5)12-8/h1-4H,(H5,9,10,11,12,13)"
C02455_alpha-Methylbenzylamine,RQEUFEKYXDPUSK-UHFFFAOYSA-N,HMDB0002017,C02455,"InChI=1S/C8H11N/c1-7(9)8-5-3-2-4-6-8/h2-7H,9H2,1H3"
C01239_N-Acetylglucosylamine,MCGXOCXFFNKASF-FMDGEEDCSA-N,HMDB0001104,C01239,"InChI=1S/C8H16N2O5/c1-3(12)10-5-7(14)6(13)4(2-11)15-8(5)9/h4-8,11,13-14H,2,9H2,1H3,(H,10,12)/t4-,5-,6-,7-,8-/m1/s1"
C06772_Diethanolamine,ZBCBWPMODOFKDW-UHFFFAOYSA-N,HMDB0004437,C06772,"InChI=1S/C4H11NO2/c6-3-1-5-2-4-7/h5-7H,1-4H2"
C00365_dUMP,JSRLJPSBLDHEIO-SHYZEUOFSA-N,HMDB0001409,C00365,"InChI=1S/C9H13N2O8P/c12-5-3-8(11-2-1-7(13)10-9(11)14)19-6(5)4-18-20(15,16)17/h1-2,5-6,8,12H,3-4H2,(H,10,13,14)(H2,15,16,17)/t5-,6+,8+/m0/s1"
C00141_2-Oxoisopentanoate,QHKABHOOEWYVLI-UHFFFAOYSA-N,HMDB0000019,C00141,"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)"
C00044_GTP,XKMLYUALXHKNFT-UUOKFMHZSA-N,HMDB0001273,C00044,"InChI=1S/C10H16N5O14P3/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(27-9)1-26-31(22,23)29-32(24,25)28-30(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H,24,25)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1"
C02714_N-Acetylputrescine,KLZGKIDSEJWEDW-UHFFFAOYSA-N,HMDB0002064,C02714,"InChI=1S/C6H14N2O/c1-6(9)8-5-3-2-4-7/h2-5,7H2,1H3,(H,8,9)"
C06470_Muramate,MSFSPUZXLOGKHJ-PGYHGBPZSA-N,HMDB0003254,C06470,"InChI=1S/C9H17NO7/c1-3(8(13)14)16-7-5(10)9(15)17-4(2-11)6(7)12/h3-7,9,11-12,15H,2,10H2,1H3,(H,13,14)/t3-,4-,5-,6-,7-,9?/m1/s1"
C00062_Arg,ODKSFYDXXFIFQN-BYPYZUCNSA-N,HMDB0000517,C00062,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1"
C00489_Glutarate,JFCQEDHGNNZCLN-UHFFFAOYSA-N,HMDB0000661,C00489,"InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)"
C05587_3-Methoxytyramine,DIVQKHQLANKJQO-UHFFFAOYSA-N,HMDB0000022,C05587,"InChI=1S/C9H13NO2/c1-12-9-6-7(4-5-10)2-3-8(9)11/h2-3,6,11H,4-5,10H2,1H3"
C00506_Cysteate,XVOYSCVBGLVSOL-REOHCLBHSA-N,HMDB0002757,C00506,"InChI=1S/C3H7NO5S/c4-2(3(5)6)1-10(7,8)9/h2H,1,4H2,(H,5,6)(H,7,8,9)/t2-/m0/s1"
C08304_Gramine,OCDGBSUVYYVKQZ-UHFFFAOYSA-N,HMDB0035762,C08304,"InChI=1S/C11H14N2/c1-13(2)8-9-7-12-11-6-4-3-5-10(9)11/h3-7,12H,8H2,1-2H3"
C02512_beta-Cyanoalanine,BXRLWGXPSRYJDZ-VKHMYHEASA-N,,C02512,"InChI=1S/C4H6N2O2/c5-2-1-3(6)4(7)8/h3H,1,6H2,(H,7,8)/t3-/m0/s1"
C00711_Malate,BJEPYKJPYRNKOW-UHFFFAOYSA-N,HMDB0000156,C00711,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)"
C02642_3-Ureidopropionate,JSJWCHRYRHKBBW-UHFFFAOYSA-N,HMDB0000026,C02642,"InChI=1S/C4H8N2O3/c5-4(9)6-2-1-3(7)8/h1-2H2,(H,7,8)(H3,5,6,9)"
C00387_Guanosine,NYHBQMYGNKIUIF-UUOKFMHZSA-N,HMDB0000133,C00387,"InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1"
C02997_N-Acetylhistidine,KBOJOGQFRVVWBH-ZETCQYMHSA-N,HMDB0032055,C02997,"InChI=1S/C8H11N3O3/c1-5(12)11-7(8(13)14)2-6-3-9-4-10-6/h3-4,7H,2H2,1H3,(H,9,10)(H,11,12)(H,13,14)/t7-/m0/s1"
C00117_R5P,KTVPXOYAKDPRHY-SOOFDHNKSA-N,HMDB0001548,C00117,"InChI=1S/C5H11O8P/c6-3-2(1-12-14(9,10)11)13-5(8)4(3)7/h2-8H,1H2,(H2,9,10,11)/t2-,3-,4-,5?/m1/s1"
C02494_1-Methyladenosine,GFYLSDSUCHVORB-IOSLPCCCSA-N,HMDB0003331,C02494,"InChI=1S/C11H15N5O4/c1-15-3-14-10-6(9(15)12)13-4-16(10)11-8(19)7(18)5(2-17)20-11/h3-5,7-8,11-12,17-19H,2H2,1H3/t5-,7-,8-,11-/m1/s1"
C05568_beta-Imidazolelactate,ACZFBYCNAVEFLC-UHFFFAOYSA-N,,C05568,"InChI=1S/C6H8N2O3/c9-5(6(10)11)1-4-2-7-3-8-4/h2-3,5,9H,1H2,(H,7,8)(H,10,11)"
C00355_DOPA,WTDRDQBEARUVNC-LURJTMIESA-N,HMDB0000609,C00355,"InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1"
